declarationRequestNumber,region,stateAbbreviation,state,Biden 2020,D Governor,R Governor,Dem led,GOP led,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id,
22095,3,WV,West Virginia                 ,,,1,,1,0,2022-10-14T00:00:00.000Z,Major Disaster,WV Severe Storms and Flooding ,Flood,2022-08-11T00:00:00.000Z,2022-08-11T00:00:00.000Z,Turndown,2022-12-05T00:00:00.000Z,0,0,1,1,2022092001,2022-08-11T00:00:00.000Z,1d43f9ae-6857-4eb9-a39f-13d424627c2a,52
22045,3,WV,West Virginia                 ,,,1,,1,0,2022-06-03T00:00:00.000Z,Major Disaster,"WV, Severe Storms and Flooding- May 6, 2022",Flood,2022-05-06T00:00:00.000Z,2022-05-07T00:00:00.000Z,Turndown,2022-08-27T00:00:00.000Z,1,0,0,1,2022052301,2022-05-06T00:00:00.000Z,bda2ad37-d057-4a56-8cc2-67c9383e844d,85
21057,8,WY,Wyoming                       ,,,1,,1,0,2021-05-07T00:00:00.000Z,Major Disaster,WY 2021 Winter Storm-Snow,Snowstorm,2021-03-13T00:00:00.000Z,2021-03-15T00:00:00.000Z,Turndown,2021-07-21T00:00:00.000Z,0,0,1,1,2021051201,2021-03-13T00:00:00.000Z,8bf916f6-8ac8-4bda-88ea-a6f454d73918,75
23066,10,AK,Alaska                        ,,,1,,1,1,2023-06-29T00:00:00.000Z,Emergency,ICAS_Severed Fiber Optic Cable,Other,2023-06-10T00:00:00.000Z,,Turndown,2024-01-31T00:00:00.000Z,0,0,1,0,2023070601,2023-06-10T00:00:00.000Z,f57ed487-5411-4b62-8c5f-8e2c07628bd3,216
23040,5,IL,Illinois                      ,1,1,,1,,0,2023-04-05T00:00:00.000Z,Emergency,R5-Illinois-March 31st Severe Storms Tornadoes ,Severe Storm,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,Turndown,2023-05-06T00:00:00.000Z,0,0,1,0,2023041002,2023-03-31T00:00:00.000Z,67837556-8023-42df-b23e-b9d8d8f1b1ea,31
23057,7,IA,Iowa                          ,,,1,,1,0,2023-06-06T00:00:00.000Z,Emergency,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-06-28T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,a0ce2721-4221-421f-b14f-3f8bc465c45a,22
21004,3,MD,Maryland                      ,1,1,,1,,0,2021-01-15T00:00:00.000Z,Emergency,National Special Security Event - 59th Presidentia,Other,2021-01-06T00:00:00.000Z,,Turndown,2021-03-17T00:00:00.000Z,0,0,1,0,2021011002,2021-01-06T00:00:00.000Z,3e4beefb-3c42-44be-a808-0d35c71feb8c,61
24119,2,NY,New York                      ,1,1,,1,,0,2024-07-20T00:00:00.000Z,Emergency,NY Tornado-07/15/2024,Tornado,2024-07-15T00:00:00.000Z,2024-07-16T00:00:00.000Z,Turndown,2025-03-19T00:00:00.000Z,0,0,1,0,2024072002,2024-07-15T00:00:00.000Z,652f29e3-832d-488a-a705-99f32be3ae54,242
22081,10,OR,Oregon                        ,1,1,,1,,0,2022-09-09T00:00:00.000Z,Emergency,OR_Wildfire Response ,Fire,2022-09-08T00:00:00.000Z,,Turndown,2023-01-04T00:00:00.000Z,0,0,1,0,2022091001,2022-09-08T00:00:00.000Z,c8c1fc60-5d64-4945-bf29-ed5c1d37c211,117
21109,6,TX,Texas                         ,,,1,,1,0,2021-09-20T00:00:00.000Z,Emergency,Texas - Border Security,Other,2021-05-31T00:00:00.000Z,,Turndown,2021-10-24T00:00:00.000Z,0,0,1,0,2021092001,2021-05-31T00:00:00.000Z,79a89ff3-128a-4b2b-97dc-cbaa4461a9cd,34
