disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,Trump 2024,D Governor,R Governor,Dem-led,GOP-led,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,disasterPageUrl,shapefileUrl,kmzfileUrl,geoJsonUrl,id,hash,lastRefresh
5611,2025-08-26T00:00:00.000Z,WINDY ROCK FIRE,2025-08-26T00:00:00.000Z,2025-09-19T00:00:00.000Z,Fire Management,MT,Montana                       ,Fire,1,,1,,1,2025-08-28T00:00:00.000Z,2025-12-16T00:00:00.000Z,,8,0,0,1,0,R,2025-08-26T00:00:00.000Z,https://www.fema.gov/disaster/5611,,,,62b13a23-34bc-471e-b41e-f619fce5702d,381d9a99557f772e1e53f1946e40a34d77330d10,2025-12-16T17:21:20.782Z
5623,2026-03-13T00:00:00.000Z,MORRILL-COTTONWOOD FIRE,2026-03-12T00:00:00.000Z,,Fire Management,NE,Nebraska                      ,Fire,1,,1,,1,2026-03-17T00:00:00.000Z,2026-03-17T00:00:00.000Z,,7,0,0,1,0,R,2026-03-13T00:00:00.000Z,https://www.fema.gov/disaster/5623,,,,c8a4558b-ab1a-4f96-ac31-f5ece49584f1,136dcecad28505bbffe7587eee31e7cd5a14ae0f,2026-03-17T16:41:14.891Z
5602,2025-08-02T00:00:00.000Z,PEAVINE FIRE,2025-08-02T00:00:00.000Z,2025-08-04T00:00:00.000Z,Fire Management,NV,Nevada                        ,Fire,1,,1,,,2025-08-05T00:00:00.000Z,2025-12-16T00:00:00.000Z,,9,0,0,1,0,R,2025-08-02T00:00:00.000Z,https://www.fema.gov/disaster/5602,,,,21a71bcc-1968-4e4c-a218-e896bfb9418c,1b0001785f7e53fd3ed6c08c1af42a00c206c63f,2025-12-16T16:41:29.463Z
5592,2025-06-20T00:00:00.000Z,CONNER FIRE,2025-06-20T00:00:00.000Z,2025-06-24T00:00:00.000Z,Fire Management,NV,Nevada                        ,Fire,1,,1,,,2025-06-23T00:00:00.000Z,2025-07-08T00:00:00.000Z,,9,0,0,1,1,R,2025-06-20T00:00:00.000Z,https://www.fema.gov/disaster/5592,,,,8bda72ac-76bd-4ee1-afce-d2aad6999866,4db7622522c1dbb59d32ece2d41d818d05d0382f,2025-07-08T19:42:09.085Z
5586,2025-06-10T00:00:00.000Z,MARIE FIRE,2025-06-10T00:00:00.000Z,2025-06-12T00:00:00.000Z,Fire Management,NV,Nevada                        ,Fire,1,,1,,,2025-06-12T00:00:00.000Z,2025-06-24T00:00:00.000Z,,9,0,0,1,1,R,2025-06-10T00:00:00.000Z,https://www.fema.gov/disaster/5586,,,,66a23ad5-7bc0-49d7-a185-1de69e121dfa,0020bb96d24048ab370c12ecb7715e15abf0b133,2025-06-24T20:22:06.342Z
5581,2025-04-24T00:00:00.000Z,JONES ROAD FIRE,2025-04-22T00:00:00.000Z,,Fire Management,NJ,New Jersey                    ,Fire,,1,,1,,2025-04-25T00:00:00.000Z,2025-04-25T00:00:00.000Z,,2,0,0,1,1,R,2025-04-22T00:00:00.000Z,https://www.fema.gov/disaster/5581,,,,c8e86ae0-b50b-47c1-a525-55b5140d7eb1,16aaa5ecda6e5433f55dbe0ad64cf1e32aabdbd3,2025-04-25T18:41:34.612Z
5594,2025-06-22T00:00:00.000Z,COTTON 2 FIRE,2025-06-22T00:00:00.000Z,2025-07-28T00:00:00.000Z,Fire Management,NM,New Mexico                    ,Fire,,1,,1,,2025-06-23T00:00:00.000Z,2026-01-06T00:00:00.000Z,,6,0,0,1,1,R,2025-06-22T00:00:00.000Z,https://www.fema.gov/disaster/5594,,,,df396019-0279-48e4-a21a-048090bf96a2,1a54eda12d9612ecfb7b153d858c9d160e606192,2026-01-06T17:41:17.257Z
5593,2025-06-21T00:00:00.000Z,DESERT WILLOW FIRE COMPLEX,2025-06-21T00:00:00.000Z,2025-07-28T00:00:00.000Z,Fire Management,NM,New Mexico                    ,Fire,,1,,1,,2025-06-23T00:00:00.000Z,2026-01-06T00:00:00.000Z,,6,0,0,1,1,R,2025-06-21T00:00:00.000Z,https://www.fema.gov/disaster/5593,,,,3f008cbb-694a-44de-994f-47b4744827a3,60943991fa070bb71d6b8fed994e4ada8ca8979e,2026-01-06T18:41:16.363Z
5588,2025-06-16T00:00:00.000Z,TROUT FIRE,2025-06-16T00:00:00.000Z,2025-07-13T00:00:00.000Z,Fire Management,NM,New Mexico                    ,Fire,,1,,1,,2025-06-17T00:00:00.000Z,2026-01-21T00:00:00.000Z,,6,0,0,1,1,R,2025-06-16T00:00:00.000Z,https://www.fema.gov/disaster/5588,,,,2c9a6b3d-45b3-499c-b629-9f95142ff004,5a0503aed5a3deb7c518e02c1fcd4c17725345a8,2026-01-21T17:41:18.244Z
5579,2025-04-18T00:00:00.000Z,RIO GRANDE FIRE,2025-04-17T00:00:00.000Z,,Fire Management,NM,New Mexico                    ,Fire,,1,,1,,2025-04-18T00:00:00.000Z,2025-04-18T00:00:00.000Z,,6,0,0,1,1,R,2025-04-17T00:00:00.000Z,https://www.fema.gov/disaster/5579,,,,fba72693-b7f9-4c32-8d9b-c84ece13413c,1018da2925ec8c3ab50e8eaac4673fca36ce5453,2025-04-18T20:21:23.016Z
5582,2025-05-03T00:00:00.000Z,SUNSET DRIVE FIRE ,2025-05-02T00:00:00.000Z,,Fire Management,NC,North Carolina                ,Fire,1,1,,,,2025-05-05T00:00:00.000Z,2025-05-05T00:00:00.000Z,,4,0,0,1,1,R,2025-05-03T00:00:00.000Z,https://www.fema.gov/disaster/5582,,,,05db71fd-ce86-4eb4-b0e4-b380f9143d61,4b2b0f87fe5a585d905daf1c1a0311154f2a9a31,2025-05-05T13:41:35.821Z
5580,2025-04-20T00:00:00.000Z,SAM DAVIS ROAD FIRE,2025-04-18T00:00:00.000Z,,Fire Management,NC,North Carolina                ,Fire,1,1,,,,2025-04-21T00:00:00.000Z,2025-04-21T00:00:00.000Z,,4,0,0,1,1,R,2025-04-19T00:00:00.000Z,https://www.fema.gov/disaster/5580,,,,60140685-883e-4f79-b185-0150b152acec,6e3365275faa0749edfe4c83dd2ba47690d61ae4,2025-04-21T14:01:26.505Z
