State/Tribe,Type of Extreme Weather,Incident Period Start,Incident Period End,Major Disaster Declaration Request,Major Disaster Declaration Decision,Decision Details,Decision Date,Waiting Period,Summary,Lat,Long,ID
Commonwealth of Northern Mariana Islands,Typhoon Sinlaku,4/11/2026,4/17/2026,4/19/2026,Approved (partial),Certain types of aid in limbo,4/23/2026,4 days,"On 4/19, Northern Mariana Islands Gov. David Apatang (I) requested an expedited major disaster declaration, including Individual Assistance, Public Assistance, and Hazard Mitigation grants throughout the commonwealth.

On 4/23, FEMA authorized Individual Assistance and Public Assistance for the commonwealth.

No decision about Hazard Mitigation grants has been announced.",15.18476251,145.7464641,22
Colorado,"Lee and Elk Fires, Flooding, and Mudslides",8/2/2025,8/29/2025,9/26/2025,Rejected,"According to the office of Colorado Gov. Jared Polis (D), the $27.5 million and counting in damages ""exceeded FEMA's threshold to approve a federal disaster declaration."" ($10.91 million in FY2025)","4/10/2026
(appeal)

12/20/2025
(original)",196 days (from original request to appeal denial),"On 9/26, Colorado Gov. Jared Polis (D requested Public Assistance (categories A, C, D, F, and G) for Rio Blanco County and statewide Hazard Mitigation.

On 12/20, FEMA rejected Polis' request, eliciting criticism from the governor and others.

On 1/16/26, Polis submitted an appeal.

On 4/13, FEMA rejected Polis' appeal, eliciting criticism from the governor.",40.12288379,-107.9251593,23
Colorado,"Severe Storms, Flooding, Landslides, and Mudslides",10/10/2025,10/14/2025,11/12/2025,Rejected,"According to the office of Colorado Gov. Jared Polis (D), the $13 million and counting in damages ""exceeded FEMA's threshold to approve a federal disaster declaration."" ($11.20 million in FY2026)","4/10/2026
(appeal)

12/20/2025
(original)",149 days (from original request to appeal denial),"On 11/12, Colorado Gov. Jared Polis (D) requested Public Assistance (categories A, B, C, D, F, and G) for 3 counties and statewide Hazard Mitigation.

On 12/20, FEMA rejected Polis' request, eliciting criticism from Polis and others.

On 1/16/26, Polis submitted an appeal.

On 4/13, FEMA rejected Polis' appeal, eliciting criticism from the governor.",37.22577791,-107.5974556,24
Hawaii          ,"Severe Storms, Flooding, Landslides, and Mudslides",3/10/2026,3/24/2026,3/23/2026,Approved (partial),Certain jurisdictions excluded and types of aid denied,4/7/2026,15 days,"On 3/23, Hawaii Gov. Josh Green (D) requested Individual Assistance and Public Assistance (categories A-G) for 4 counties and statewide Hazard Mitigation.

On 4/7, FEMA authorized Individual Assistance and Public Assistance (categories A-F) for 3 counties.

Kauai County appears to have been excluded from Individual Assistance and Public Assistance.

Public Assistance (category G - Parks, Recreational, and Other Facilities) appears to have been denied.

No decision about Hazard Mitigation grants has been announced.",21.56188015,-158.0692477,25
South Carolina,Severe Winter Storm,1/21/2026,1/27/2026,2/24/2026,Approved (partial),Certain types of aid in limbo,4/7/2026,42 days,"On 2/24, South Carolina Gov. Henry McMaster (R) requested Public Assistance for 3 counties and statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance (categories A-G) for 3 counties.

No decision about Hazard Mitigation grants has been announced.",34.84867291,-82.39684532,26
Oregon,"Severe Storms and Winds, Flooding, Landslides, and Mudslides",12/15/2025,12/21/2025,2/18/2026,Approved (partial),Certain jurisdictions excluded and types of aid in limbo,4/7/2026,48 days,"On 2/18, Oregon Gov. Tina Kotek (D) requested Public Assistance for 9 counties and statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance for 4 counties (Clackamas, Hood River, Lincoln, and Linn). Clackamas and Hood River counties are eligible for category A (debris removal), Clackamas County is elgible for category B (emergency protective measures), and Linn County is elgible for category C (roads and bridges).

Lane, Polk, Tillamook, Union, and Yamhill counties appear to have benn excluded from Public Assistance.

No decision about Hazard Mitigation grants has been announced.",45.40814253,-122.572703,27
Idaho,Straight-line Winds,12/16/2025,12/18/2025,2/6/2026,Approved (partial),Certain types of aid in limbo,4/7/2026,60 days,"On 2/6, Idaho Gov. Brad Little (R) requested Public Assistance for 10 counties and statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance (categories A-G) for 10 counties.

No decision about Hazard Mitigation grants has been announced.",46.7321051,-116.9977459,28
Alaska,Severe Storms and Straight-line Winds,12/6/2025,12/9/2025,1/30/2026,Approved (partial),Certain types of aid in limbo,4/7/2026,67 days,"On 1/30, Alaska Gov. Mike Dunleavy (R) requested Public Assistance for Matanuska-Susitna Borough, along with statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance (categories A-G) for Matanuska-Susitna Borough.

No decision about Hazard Mitigation grants has been announced.",61.59990728,-149.113353,29
South Dakota,Straight-line Winds,12/17/2025,12/18/2025,1/27/2026,Approved (partial),Certain types of aid in limbo,4/7/2026,70 days,"On 1/27, South Dakota Gov. Larry Rhoden (R) requested Public Assistance for 3 counties and statewide Hazard Mitigation. 

On 4/7, FEMA authorized Public Assistance (categories A-G) for 3 counties.

No decision about Hazard Mitigation grants has been announced.",44.06296952,-103.1392021,30
Washington,"Severe Storms, Straight-line Winds, Landslides, and Mudslides",12/5/2025,12/22/2025,"1/21/2026 (Individual Assistance)

2/17/2026 (Public Assistance)",Approved (partial),Certain jurisdictions excluded and types of aid denied,4/7/2026,"76 days (Individual Assistance)

49 days (Public Assistance)","On 1/21, Washington Gov. Bob Ferguson (D) requested Individual Assistance for 10 counties and 16 tribes.

On 4/7, FEMA authorized Individual Assistance for 25 counties and tribes.

The Snoqualmie Indian Tribe appears to have benn excluded from Individual Assistance.

On 2/17, Washington Gov. Bob Ferguson (D) requested Public Assistance for 23 counties and 24 tribes along with statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance for 44 counties and tribes (categories A, C, D, E, and F - 42 jurisdictions; category B - 41 jurisdictions; and category G - 25 jurisdictions). 

The Confederated Tribes and Bands of the Yakama Nation, the Cowlitz Indian Tribe, and the Snoqualmie Indian Tribe appear to have benn excluded from Public Assistance.

On 4/23, FEMA denied Hazard Mitigation grants.",48.00706013,-121.958091,31
Montana,Severe Winter Storms and Straight-line Winds,12/16/2025,12/18/2025,1/15/2026,Approved (partial),Certain types of aid in limbo,4/7/2026,82 days,"On 1/15, Montana Gov. Greg Gianforte (R) requested Public Assistance for 28 counties and 5 tribes, as well as statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance (categories A-G) for 28 counties and 5 tribes.

No decision about Hazard Mitigation grants has been announced.",46.75752937,-114.0798099,32
Montana,Severe Storms and Flooding,12/9/2025,12/14/2025,1/10/2026,Approved (partial),Certain types of aid in limbo,4/7/2026,87 days,"On 1/10, Montana Gov. Greg Gianforte (R) requested Public Assistance for Lincoln County and statewide Hazard Mitigation.

On 4/7, FEMA authorized Public Assistance (categories A-G) for Lincoln County.

No decision about Hazard Mitigation grants has been announced.",48.38829085,-115.5562109,33
Illinois,Severe Storms and Flooding,7/25/2025,7/28/2025,8/21/2025,Rejected,"Since FEMA began publishing damage assessments in 2007 and calculating damage-to-wealth ratios in 2019, presidents had approved requests for individual assistance every time the ratio exceeded 12.5, according to E&E News. However, Trump rejected Illinois Gov. JB Pritzker's (D) request even though the ratio was 39.45.","4/10/2026 (appeal)

10/22/2025 (original)",232 days (from original request to appeal denial),"On 8/21, Illinois Gov. J.B. Pritzker (D) requested Individual Assistance for 3 counties and statewide Hazard Mitigation.

On 10/22, FEMA rejected Pritzker's request.

On 11/21, Pritzker submitted an appeal.

On 4/7/26, FEMA rejected Pritzker's appeal.",41.80247585,-87.72632165,34
Louisiana,Severe Winter Storm,1/23/2026,1/27/2026,2/5/2026,Approved (partial),Certain types of aid in limbo,2/18/2026,13 days,"On 2/5, Louisiana Gov. Jeff Landry (R) requested an expedited major disaster declaration, including Public Assistance and Hazard Mitigation grants for 9 parishes.

On 2/18, FEMA authorized Public Assistance (categories A and B) for 9 parishes.

On 3/4, FEMA authorized Public Assistance (categories C-G) for 8 parishes.

On 3/16, FEMA authorized Public Assistance (categories A and B) for 8 additional parishes.

On 3/16, FEMA authorized Public Assistance (categories C-G) for 5 additional parishes.

On 4/7, FEMA authorized Public Assistance (categories A and B) for 1 additional parish.

No decision about Hazard Mitigation grants has been announced.",32.5086307,-92.12129062,35
Arizona,"Severe Storms, Flooding, Landslides, and Mudslides",10/10/2025,10/13/2025,11/12/2025,Rejected,,2/9/2026,89 days,"On 11/12, Arizona Gov. Katie Hobbs (D) requested Individual Assistance for 2 counties.",33.42629745,-111.9409317,36
Vermont,Severe Storms and Flooding,7/10/2025,7/10/2025,8/22/2025,Rejected,"According to the office of Vermont Gov. Phil Scott (R), ""Federal assessors identified more than $1.8 million in statewide damages, exceeding the minimum threshold for a Public Assistance disaster declaration."" ($1.22 million in FY2025)","2/7/2026 (appeal)

10/22/2025 (original)",169 days (from original request to appeal denial),"On 8/22, Vermont Gov. Phil Scott (R) requested Public Assistance (categories A-G) for 2 counties and statewide Hazard Mitigation.

On 10/22, FEMA rejected Scott's request.

On 11/20, Scott submitted an appeal.

On 2/7/26, FEMA rejected Scott's appeal.",44.63312061,-72.02811088,37
Illinois,"Severe Storms, Straight-line Winds, and Flash Flooding",8/16/2025,8/19/2025,9/15/2025,Rejected,"Since FEMA began publishing damage assessments in 2007 and calculating damage-to-wealth ratios in 2019, presidents had approved requests for individual assistance every time the ratio exceeded 12.5, according to E&E News. However, Trump rejected Illinois Gov. JB Pritzker's (D) request even though the ratio was 71.21.","2/7/2026 (appeal)

10/22/2025 (original)",145 days (from original request to appeal denial),"On 9/15, Illinois Gov. JB Pritzker (D) requested Individual Assistance for 5 counties and statewide Hazard Mitigation.

On 10/22, FEMA rejected Pritzker's request.

On 11/21, Pritzker submitted an appeal.

On 2/7/26, FEMA rejected Pritzker's appeal.",41.64725314,-88.08930965,38
Kansas,"Severe Storms, Straight-line Winds, and Flooding",9/8/2025,9/10/2025,11/21/2025,Rejected,,2/7/2026,78 days,"On 11/21, Kansas Gov. Laura Kelly (D) requested Public Assistance for 4 counties and statewide Hazard Mitigation.

On 2/7/26, FEMA rejected Kelly's request.",39.00806284,-97.87573242,39
